phrase,intent
Create me a playlist to relax,classical
I need a playlist for studying,classical
Play some calming classical music for me,classical
Can you make a playlist with orchestral music,classical
I want to listen to some baroque music,classical
Make me a playlist of timeless classical pieces,classical
Set up a playlist of opera music,classical
Create a relaxing classical music playlist,classical
Build a playlist for early classical pieces,classical
Give me a playlist of soothing orchestral tunes,classical
Create a playlist for chilling,rock
I want a playlist of classic rock songs,rock
Play some folk rock music for me,rock
Make me a playlist with classic rock hits,rock
Can you add some blues rock to my playlist,rock
I need a playlist for a road trip,rock
Create a fun rock-and-roll playlist,rock
Give me some great album rock tracks,rock
Create a country rock playlist for driving,rock
Set up a playlist for easy listening,jazz
Make me a vocal jazz playlist,jazz
I want to listen to jazz standards,jazz
Can you make a cool jazz playlist,jazz
Play some swing music for me,jazz
Build a relaxing jazz playlist,jazz
Set up a big band jazz playlist,jazz
I need a playlist of smooth jazz,jazz
Give me some classic jazz standards,jazz
Create a playlist for a party,hip hop
Play some energetic hip hop for working out,hip hop
I need some rap music for a playlist,hip hop
Make me a playlist with trap beats,hip hop
Set up a playlist with gangster rap vibes,hip hop
I want to listen to southern hip hop,hip hop
Create a fun pop rap playlist,hip hop
Give me some hip hop for a road trip,hip hop
Play some chill hip hop tracks,hip hop
Create a fun and upbeat playlist,pop
Play some dance pop songs for me,pop
Make a mellow gold playlist,pop
Set up a playlist with lounge music,pop
I want a playlist with soft rock hits,pop
Build a playlist with Latin pop songs,pop
Create a playlist for a dance party,pop
Give me some upbeat progressive house,pop
Play me some funk music,pop
Make a playlist of relaxing folk songs,folk
Set up a playlist with country rock songs,folk
I want to listen to folk rock music,folk
Give me a playlist with tropical vibes,folk
Create a chill folk music playlist,folk
Build a playlist of classic folk songs,folk
Play me some folk tunes for a quiet evening,folk
Give me some soft country rock songs,folk
Set up a playlist for relaxing sleep music,miscellaneous
Make me a playlist of ambient sleep sounds,miscellaneous
Give me some calm music to sleep,miscellaneous
Play some sleep sounds to relax me,miscellaneous
Build a playlist for peaceful sleep,miscellaneous
Create a playlist for studying,classical
I need some classical music for focus,classical
Build a playlist with peaceful classical pieces,classical
Can you make a classical playlist to relax,classical
Play some baroque music for me,classical
I want a calming classical playlist,classical
Play relaxing late romantic era music,classical
Make a German romanticism playlist,classical
Set up a playlist of post-romantic era pieces,classical
Create a playlist with classic rock hits,rock
I need some rock songs to energize me,rock
Play some folk rock tunes,rock
Give me a playlist of timeless rock music,rock
Create a road trip playlist with country rock,rock
Set up a blues rock playlist,rock
Play some upbeat rock-and-roll for me,rock
Give me a playlist of popular album rock songs,rock
Make a rock playlist with classic anthems,rock
Put on some roots rock music,rock
Play some jazz standards,jazz
Give me a big band playlist,jazz
Create a swing playlist for a dance night,jazz
Play some smooth vocal jazz for me,jazz
Make a jazz playlist to relax,jazz
Set up a cool jazz playlist,jazz
I want some adult standards music,jazz
Create a chill big band jazz playlist,jazz
Give me some classic vocal jazz tunes,jazz
Play some lively hip hop for working out,hip hop
I need a playlist with high-energy rap,hip hop
Make me a trap music playlist,hip hop
Set up some southern hip hop vibes,hip hop
Give me a gangster rap playlist,hip hop
Play some hip hop for a workout,hip hop
Put on a fun pop rap playlist,hip hop
Create an energetic hip hop playlist,hip hop
I want a chill hip hop playlist,hip hop
Make me a playlist with popular rap songs,hip hop
Create a dance pop playlist,pop
I want a feel-good pop playlist,pop
Give me some mellow gold tunes,pop
Set up a lounge music playlist,pop
Make a Latin pop playlist for a party,pop
Play some soft rock hits,pop
Create a progressive house playlist,pop
I need a funky groove playlist,pop
Give me a playlist with easy listening music,pop
Put on some uplifting pop songs,pop
Make a playlist of relaxing folk songs,folk
Give me a playlist of folk rock tunes,folk
Set up a tropical music playlist,folk
Play some classic folk music for me,folk
Put together a folk playlist for a peaceful evening,folk
Create a playlist with calm country rock songs,folk
I want a laid-back folk music playlist,folk
Play some soft country rock,folk
Set up a sleep music playlist,miscellaneous
I need calming music to fall asleep,miscellaneous
Play some ambient sounds for sleep,miscellaneous
Create a sleep-inducing playlist,miscellaneous
Give me a soothing sleep music playlist,miscellaneous
Play some peaceful music for sleep,miscellaneous
Build a playlist for a restful night's sleep,miscellaneous
Make a playlist to help me relax and sleep,miscellaneous
Set up a sleep-friendly music playlist,miscellaneous
Create a playlist to unwind and fall asleep,miscellaneous
Create a playlist with calm classical music for reading,classical
I need some relaxing classical music for a quiet evening,classical
Play me some famous classical era compositions,classical
Give me a playlist of soothing baroque pieces,classical
Set up a peaceful classical music playlist,classical
Put on some early romantic era music,classical
Build a playlist with choral and orchestral music,classical
Can you make a classical playlist for concentration,classical
Play calming German romanticism music,classical
Make a playlist of classic opera,classical
Put together a road trip playlist with rock anthems,rock
I want a playlist of high-energy rock,rock
Play some classic rock songs from the 70s,rock
Set up a bluesy rock-and-roll playlist,rock
Give me a playlist of folk rock ballads,rock
Put on some roots rock for a road trip,rock
Create a playlist of iconic album rock hits,rock
I need some lively rock-and-roll songs,rock
Make a rock playlist for a workout,rock
Play a mix of upbeat rock hits,rock
Set up a relaxing jazz playlist for dinner,jazz
Play some big band jazz for a lively evening,jazz
Give me a cool jazz playlist,jazz
I want a playlist with vocal jazz standards,jazz
Make a jazz playlist for a rainy day,jazz
Put on some smooth swing tunes,jazz
Build a playlist with jazz classics,jazz
Give me some mellow jazz,jazz
Play a soothing jazz playlist,jazz
